15.964, 15.961, 16.127
16.034, 16.207, 15.923
12.029, 12.234, 16.006
15.99, 15.975, 16.053
12.149, 12.114, 16.058
15.791, 15.982, 15.988
11.866, 19.973, 16.019
15.989, 15.956, 16.02
19.874, 11.965, 16.123
20.032, 12.123, 15.987
15.829, 15.864, 16.102
12.024, 20.131, 15.883
15.892, 16.103, 16.253
15.971, 16.162, 16.03
16.102, 15.893, 16.203
11.969, 11.934, 16.016
15.892, 16.057, 15.633
11.849, 12.054, 15.964
15.876, 16.049, 16.059
15.876, 16.049, 16.059
16.037, 16.098, 15.63
15.911, 15.972, 15.83
16.122, 16.119, 15.991
15.897, 15.986, 15.952
15.9, 16.065, 15.827
16.094, 15.885, 16.009
15.883, 15.89, 15.976
15.884, 16.095, 16.059
15.955, 15.99, 15.902
15.863, 15.83, 16.22
15.982, 15.967, 15.859
